# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	contig_8914	5294	20189	+	2749.2	2503	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	contig_36577	6904	16371	-	1032.1	1930	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	contig_56560	48997	54850	-	1696.9	1660	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	contig_54774	169023	174901	-	1605.3	1765	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	contig_54772	110423	116408	-	1591.9	1766	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	contig_14046	109937	115583	+	1592.8	1379	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	contig_20481	47714	55675	-	1126.9	1672	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	contig_37357	88458	94458	+	1665.7	1640	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	contig_7498	80363	87355	+	3075.3	1821	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Fragmented	contig_53715	10672	13345	-	556.2	655	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Fragmented	contig_39454	48276	52267	-	255.0	592	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	contig_1462	59215	62879	+	772.3	774	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	contig_20192	1529	5571	-	1107.1	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	contig_45291	5456	10737	-	1439.3	1146	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	contig_57607	1773	6974	+	645.7	993	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	contig_12488	270499	271755	+	161.4	402	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	contig_29769	204359	207306	+	534.8	620	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	contig_8486	82902	87998	-	1956.7	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	contig_54584	60659	63966	-	675.6	665	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Fragmented	contig_11107	7617	9610	+	407.5	422	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Duplicated	contig_53848	66063	69951	-	1385.7	990	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
