# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	ctg5885	6287	21291	-	2931.0	2729	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	ctg9931	36087	45691	+	1081.2	2002	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	ctg10603	2725	8838	-	2991.7	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	ctg2994	75531	81175	+	1593.0	1379	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	ctg5307	21114	28610	+	1044.0	1576	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	ctg4682	86849	92851	-	1661.0	1605	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	ctg16316	4237	11250	+	3078.7	1827	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Fragmented	ctg4418	122671	125378	-	565.5	659	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	ctg1984	66002	72180	-	395.1	967	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	ctg5359	35825	39490	-	789.8	774	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	ctg3198	9075	13117	-	1107.1	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	ctg13106	14084	20904	+	1747.7	1360	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	ctg6626	50220	55659	+	639.6	957	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	ctg3111	259492	260748	-	161.4	402	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	ctg10540	27375	30322	-	543.5	620	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	ctg6239	86303	91399	-	1956.7	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	ctg1	4756672	4759910	+	680.1	656	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
